,name_buy,price_buy,price_sell,postcode_buy,postcode_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name,link_buy,link_sell
1089,BMW 1 Series,4990,5790,MK3 6JS,DT2 7LU,120000.0,92000.0,2.0,2.0,613.3333333333334,335.05811778751035,446.91156875323935,https://www.autotrader.co.uk/car-details/202304266703006,https://www.autotrader.co.uk/car-details/202305237689017
2599,Volkswagen Golf,6795,7695,MK3 6JS,DT2 7LU,74000.0,63000.0,1.6,2.0,612.9729729729729,695.0849396237942,762.4739266256026,https://www.autotrader.co.uk/car-details/202212032241275,https://www.autotrader.co.uk/car-details/202304066033113
6528,Ford Fiesta,6550,7395,MK3 6JS,DT2 7LU,78600.0,57000.0,1.0,1.0,612.7862595419847,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305257780029,https://www.autotrader.co.uk/car-details/202303105093738
10068,Vauxhall Mokka,6990,8000,MK3 6JS,DT2 7LU,99317.0,68864.0,1.4,1.6,612.7708247329259,575.9489604687036,385.2970821269751,https://www.autotrader.co.uk/car-details/202303285690534,https://www.autotrader.co.uk/car-details/202304286780397
3835,Ford Fiesta,5499,7250,MK3 6JS,DT2 7LU,71600.0,25000.0,1.0,1.0,611.3826815642458,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202207127705331,https://www.autotrader.co.uk/car-details/202304286800677
10174,Vauxhall Mokka,7995,8750,MK3 6JS,DT2 7LU,63000.0,51000.0,1.6,1.6,611.1904761904761,575.9489604687036,385.2970821269751,https://www.autotrader.co.uk/car-details/202302074018790,https://www.autotrader.co.uk/car-details/202303215456826
8447,SEAT Ibiza,7000,8298,MK3 6JS,DT2 7LU,72953.0,40050.0,1.2,1.4,610.783459409287,714.1375920262108,632.9000083270184,https://www.autotrader.co.uk/car-details/202305247727213,https://www.autotrader.co.uk/car-details/202304146266384
3583,Volkswagen Golf,7995,9100,MK3 6JS,DT2 7LU,80000.0,44157.0,1.6,1.6,609.9185625,695.0849396237942,762.4739266256026,https://www.autotrader.co.uk/car-details/202305187499023,https://www.autotrader.co.uk/car-details/202304035924192
5093,Nissan Qashqai,7995,8750,MK3 6JS,DT2 7LU,70923.0,57240.0,1.6,1.6,609.3397064421979,482.0798915413159,591.7110406498663,https://www.autotrader.co.uk/car-details/202305157389069,https://www.autotrader.co.uk/car-details/202305097157613
10560,Renault Captur,6750,8700,MK3 6JS,DT2 7LU,98067.0,51046.0,0.9,1.5,609.0103704610113,625.8645413490611,666.3654015187517,https://www.autotrader.co.uk/car-details/202301073029715,https://www.autotrader.co.uk/car-details/202305187526964
5073,Nissan Qashqai,7995,8750,MK3 6JS,DT2 7LU,71000.0,57240.0,1.6,1.6,608.6788732394366,482.0798915413159,591.7110406498663,https://www.autotrader.co.uk/car-details/202303205420356,https://www.autotrader.co.uk/car-details/202305097157613
10067,Vauxhall Mokka,6990,8000,MK3 6JS,DT2 7LU,99317.0,68264.0,1.4,1.6,607.4318596010752,575.9489604687036,385.2970821269751,https://www.autotrader.co.uk/car-details/202303285690534,https://www.autotrader.co.uk/car-details/202305117260300
4630,Ford B-Max,5200,5795,MK3 6JS,DT2 7LU,72596.0,74000.0,1.0,1.0,606.5072455782688,722.8608854553976,253.08579668311899,https://www.autotrader.co.uk/car-details/202209119663284,https://www.autotrader.co.uk/car-details/202303044891753
