,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
289,Daihatsu Sirion,https://www.autotrader.co.uk/car-details/202303205435286,2990,4.8 (117 reviews),2008,Hatchback,83000.0,1.5,102.0,Manual,Petrol,,Daihatsu,DT1 3GJ
290,Mitsubishi Colt,https://www.autotrader.co.uk/car-details/202304266702693,3190,4.6 (331 reviews),2008,Hatchback,61000.0,1.5,94.0,Automatic,Diesel,,Mitsubishi,DT1 3GJ
291,Land Rover Freelander 2,https://www.autotrader.co.uk/car-details/202304176360056,4350,bournemouth (30 miles),2008,SUV,120611.0,2.2,,Automatic,Diesel,4.0,Land,DT1 3GJ
292,Nissan Note,https://www.autotrader.co.uk/car-details/202303225515898,2490,4.8 (117 reviews),2008,Hatchback,93000.0,1.4,,Manual,Petrol,,Nissan,DT1 3GJ
293,Renault Scenic,https://www.autotrader.co.uk/car-details/202305057037364,2995,5.0 (2 reviews) yeovil (18 miles),2008,MPV,93000.0,1.6,111.0,Manual,Petrol,2.0,Renault,DT1 3GJ
294,Vauxhall Zafira,https://www.autotrader.co.uk/car-details/202305036966867,2117,4.8 (450 reviews),2008,MPV,121745.0,1.9,,Manual,Diesel,5.0,Vauxhall,DT1 3GJ
295,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202305036970222,1650,chard (26 miles),2008,Hatchback,119900.0,1.7,,Manual,Diesel,5.0,Vauxhall,DT1 3GJ
296,Ford Fusion,https://www.autotrader.co.uk/car-details/202301233529092,2490,4.6 (331 reviews),2008,Hatchback,105000.0,1.6,99.0,Manual,Petrol,,Ford,DT1 3GJ
297,Volkswagen FOX,https://www.autotrader.co.uk/car-details/202304256648226,2490,4.6 (331 reviews),2008,Hatchback,88000.0,1.2,,Manual,Petrol,,Volkswagen,DT1 3GJ
298,Ford Mondeo,https://www.autotrader.co.uk/car-details/202303115135825,3990,4.8 (117 reviews),2008,Hatchback,66000.0,2.0,143.0,Manual,Petrol,,Ford,DT1 3GJ
299,Ford Fiesta,https://www.autotrader.co.uk/car-details/202304136240876,2390,4.6 (331 reviews),2008,Hatchback,99000.0,1.4,67.0,Manual,Diesel,,Ford,DT1 3GJ
