,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
1952,Ford Focus,https://www.autotrader.co.uk/car-details/202305107205992,8695,4.9 (91 reviews) northampton (20 miles),2012.0,Hatchback,36603.0,1.6,,Automatic,Petrol,,Ford,MK3 6JS
1953,Mercedes-Benz SLK,https://www.autotrader.co.uk/car-details/202304196451906,10000,4.9 (2220 reviews),2012.0,Convertible,64165.0,2.1,204.0,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1954,BMW 5 Series,https://www.autotrader.co.uk/car-details/202303295750419,6999,5.0 (3 reviews) luton (15 miles),2012.0,Saloon,121800.0,2.0,,Automatic,Diesel,2.0,BMW,MK3 6JS
1955,MINI Roadster,https://www.autotrader.co.uk/car-details/202303205437614,6495,princes risborough (19 miles),2012.0,Convertible,49057.0,1.6,,Manual,Petrol,,MINI,MK3 6JS
1956,Nissan Note,https://www.autotrader.co.uk/car-details/202303295753057,6785,5.0 (3 reviews) luton (15 miles),2012.0,Hatchback,43568.0,1.6,,Automatic,Petrol,2.0,Nissan,MK3 6JS
1957,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304156319973,4680,4.9 (72 reviews) pulloxhill (13 miles),2012.0,Hatchback,56000.0,1.0,,Manual,Petrol,2.0,Vauxhall,MK3 6JS
1958,Smart Fortwo,https://www.autotrader.co.uk/car-details/202305137322590,6250,4.1 (45 reviews) bedford (13 miles),2012.0,Convertible,14047.0,1.0,,Automatic,Petrol,,Smart,MK3 6JS
1959,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202304226568235,4999,hemel hempstead (20 miles),2012.0,Convertible,114632.0,1.4,,Manual,Petrol,3.0,Volkswagen,MK3 6JS
1960,BMW 3 Series,https://www.autotrader.co.uk/car-details/202304236577266,7990,4.7 (97 reviews) aylesbury (19 miles),2012.0,Estate,110900.0,2.0,,Automatic,Diesel,4.0,BMW,MK3 6JS
1961,Audi A4 Allroad,https://www.autotrader.co.uk/car-details/202304106140884,7500,aylesbury (14 miles),2012.0,Estate,142729.0,3.0,,Automatic,Diesel,5.0,Audi,MK3 6JS
